start	end	text
2646	5728	¿De qué parte?
6409	11092	De Medellín.
12753	15095	De Medellín, sí señor.
15175	16876	Yo nací en Bogotá, pero me crié en Medellín.
17937	20499	Y me vine aquí persiguiendo a Sofía, al amor.
20519	22420	No sé si la conoces, que es amiga de Andrea.
22480	28024	No la conozco, pero algo me platicó Andy y es de valientes eso.
28104	30466	Eso es de valientes, estar de un país a otro.
31698	37761	Es difícil de por si en el país propio le batallamos ahora imagina en otro país ¿no?
37881	39381	ajeno el grupo porque te felicito.
39762	41242	Muchas gracias.
41322	44784	Ya no existen, ya no hay hombres de esos ¿eh?
44844	46845	Te felicito para que te valoren.
46865	48165	Mil gracias, eso espero.
48605	50986	Eso espero que así sea, que lo valoren.
51066	51967	Si, si, si.
52027	59590	Además este, como dicen los políticos, son dos países hermanos, Colombia y Chile.
59910	69295	Sí, bueno, en realidad nosotros vinimos de España, desde España, nos conocimos en España, pero bueno, ya nos vinimos para acá, pero como dices, son países hermanos.
70196	88966	Sí, yo conozco Bogotá, conozco Medellín, Cartagena, y lo conozco hace unos 25 años, eran de los mejores diseñadores en ropa interior.
90362	94384	Ellos y los venezolanos.
95084	97505	En Medellín había una muy grande, Leonisa se llamaba.
105089	117374	Ellos se dedicaban a la vida de los mejores diseñadores y con el cambio de gobierno y todo eso se los robó unas compañías chinas.
119958	124421	Todo el talento, diseñadores y la ropa interior.
124441	131906	Hace 24, 23 años que yo portaba ropa interior y se llevaban los chinitos.
132807	142413	Una compañía de Miami entre los chinitos y unos de Miami se llevaron el talento.
142493	148778	Bueno, muchachos muy educados, jóvenes así, talentosos.
150258	153959	En Bogotá educados se levantan muy temprano, nosotros como nosotros.
154999	159461	Hoy se levanta la gente muy temprano para el tráfico.
160341	165122	Con lo que es Bogotá y Medellín nunca diseñaron la ciudad.
167263	167643	A futuro.
167783	169283	Corrígeme si estoy mal.
169543	170044	A futuro.
170064	172764	En aquel entonces había tráfico.
172844	174425	Estaban los 75, 66 años.
175265	176525	Mediante hoy.
176565	177466	Hoy, Dios me lo juro.
178026	179046	Se levanta nena
