start	end	text
870	3712	¿Cuándo fue que salió el documento?
3732	4653	¿Te refieres cuando vienen?
4713	8455	Ese es el número del contenedor que trae el contenedor.
8475	8656	Sí.
8676	11017	Y esa es la manera en la que se trasladó
29702	41828	A su destino, ya se entren, unos contenedores cruzan por Mexicali, San Luis de Colorado, Sonora, y se van en tren a la Ciudad de México, y otros se van en terrestre.
42128	47630	Que son los que van de Los Ángeles al caso y cruzan.
47670	53493	Pero está en chino porque es un cliente chino y cierta información la manejan desde allá.
55530	60754	Y aquí ya tienen los días para poder descargar, cuáles van en curso.
60774	68259	El puerto te da ciertos días para retorno de vacío sin cobrar el costo.
68279	70380	Que ya una vez se pasen los días, empiezan los costos.
70400	81087	Yo dije que el cliente al momento de hacer su contratación de la terminal, porque son varias terminales, pone los días.
81148	83709	Entonces aquí se hace eso con el fin de estar pendiente.
83749	84190	Claro.
87511	98156	Bueno, conforme va pasando, aquí les van poniendo cuándo fue el retorno del vacío, en la fecha en la que llegó a la bodega, estos son los que están en curso, ¿cuál es el...?
98496	100297	Los que van en mar, que están en el mar.
100497	101438	Están en el mar, ajá.
102886	109309	La actualización de esto la haces todo a mano, puntualmente, te va llegando la información por correo y la van actualizando.
109389	124734	Pero esto previo estuvo en el correo que te dice Luis, entonces del correo de Luis ya se sabe el número de contenedor y el tiempo en el que va a llegar, entonces como, por eso te digo, lo de Luis es lo primero, lo de los correos, donde se puede vaciar los números de contenedores que van a llegar.
125090	127691	Y empezar a alimentar la información.
127751	144938	Y una de las características que te gusta de este programa es que pueden estar varias personas al mismo tiempo interactuando con la... Y el tema es que nada más esto ahorita se está llevando para el cliente chino y lo ideal sería llevarlo para todos los clientes, para tener una base de datos general.
145994	149937	Sí, porque por ejemplo aquí ya buscas nada más tú el contenedor y ya te sale toda la información.
149957	150698	Toda la información.
151258	168733	Esa es la información del contenedor, los kilos que trae, cuántas cajas son, el total de lo que trae el contenedor, qué producto es el que trae, cuándo es la cita del puerto, a qué bodega se va a destinar, si ha traído hecho a Vernon, de dónde viene...
168753	172156	Trae si es la bodega externa que se tiene contratada y Vernon puede ser la...
172176	174217	La que vimos en...
174297	175018	Este...
176578	186985	¿Y cuál es el impedimento más grande para ustedes poder empezar a implementar esta misma plataforma o un sistema similar con lo que tienen actualmente?
187085	190287	He entrado como 10 veces a quererlo generar y me distraigo, no lo he hecho.
205846	207708	¿No te gustaría transferirte para Amundi?
208428	220158	No, lo que había pensado es en transferirnos para Amundi porque lo fácil era copiar siempre esta información sin tener que llenar todo esta base de datos y agregar los de nosotros.
220178	227504	Y que ya cada uno solamente se enfoque a lo que le corresponde, en este caso transporte.
227544	232708	Pero esta compañía pues también, esta es una plataforma externa a la que se le tiene que pagar.
232728	235250	Pero esto es súper global, esto es...
236598	240021	Es global, sí, pero también se podría tener algo como algo...
240341	246906	Pues lo que te digo, hay muchas formas, ustedes podrían, se podría desarrollar, o pues nosotros podríamos desarrollar una plataforma que sea exclusiva de ustedes.
247546	251969	Obviamente eso tiene sus complejidades y sus pros y sus contras, como todo en la vida.
252070	263078	Por eso te digo, al final contratamos el programa Traje Premium porque como que sí nos llegaban con propuestas, pero le decían a Héctor, tres meses, cuatro meses, seis meses, tres meses para la primera etapa, entonces él decía no.
263650	264570	Y los descartaban.
264590	272394	Pero ustedes sí podrían, perdón te interrumpo, filtrar, pues ustedes estarían dispuestos a dejar Tracking Premium y correr toda la información a Monday?
273594	282878	Sí, si hubiera una buena propuesta y pudiéramos hacerlo todo gradual, donde pudiéramos comunificar con la información, sería lo ideal, sería como una plataforma propia.
285499	290421	Porque al final, por ejemplo, si yo no pago mañana el mes de Tracking Premium, te lo cortan.
291261	292662	Y toda la información que se quedó ahí...
294999	305346	Y aparte de la compañía o de los que están aquí trabajando, ¿otras compañías externas tienen acceso a Tracking Premium o no?
305386	308028	Pero que dices que normalmente no entran como a revisarlo.
308188	312231	Ah, bueno, no, nada más todo de uso es el que probablemente lo utiliza.
312291	314853	Ah, y también México Envíos.
314873	317114	¿Y ellos agregan información o solamente visualizar?
317134	317675	No agregan información.
318636	322018	De hecho, la misma Tracking Premium...
323086	324529	Les podía ofrecer a ellos.
324549	327695	Que te pasen, porque sería una ganancia muy grande.
327895	333466	Con la base de datos que yo ya tengo, ofrecerte a ellos como...
333818	337739	Aprovecha la base de datos que ya tienes para que tú desarrolles el producto que tú quieras.
337859	345601	O viceversa, que ellos te pasen a ti la información directa y que la información la puedan utilizar ustedes, porque entonces ahí ya te viene, me imagino, el tamaño de los paquetes.
346141	362826	No, no sabes la cantidad de paquetes, no tienes información, porque ni el mismo cliente sabe de qué tamaño le va a llegar, como estamos viendo, si esto te lo van a poner en un sobre o te lo van a poner en una caja de tamaño, o una caja llena de burbuja con el control, o sea, no sabe, no sabe, entonces él está...
363474	366416	Él está esperando, por ejemplo, el día que no va Silvia, la que captura.
367497	372600	No fue Silvia ella a trabajar porque se queda como en blanco de que no sabe qué paquete le llegaron ese día a bodega.
373360	374441	No, Silvia se fue al doctor.
374721	384667	Entonces, ahí están esperando a que llegue Silvia el siguiente día para capturar y ver qué paquetes ya tienen, que van llegando.
385568	388850	Bueno, pero eso es básicamente con el programa que ella trabaja.
389186	390746	Para este cliente en específico.
390866	392007	Claro, pero buenísimo.
392067	396008	Y te digo, se enlazan varios, no sé cuántos integrantes tiene.
396888	406891	Sí, puedes ir, por ejemplo, yo estoy en ese, y nada más que saco información de ahí, más no, yo no entiendo.
406971	410432	Pero podrías, en cambio que quisieras, podrías.
410452	414373	Pero corres el riesgo, siempre con el intento de que... O sea, corre o algo, no, mejor no.
414773	417974	Bueno, lo bueno es que ese tipo de plataformas tú puedes...
418862	421103	Permitir el acceso a ciertas casillas para ciertas personas.
421123	431768	En ese programa también tú puedes ver acá quién cuando le signas un rol en el tracking premium qué puede editar y qué no.
431808	434249	Qué puede hacer, o sea, qué rol le das.
435570	436710	Permiso, muchísimas gracias.
440472	444854	Antes que me olvide toda la parte de IT, por así decirlo,
445690	450654	La página web, los correos y todo eso lo manejan ustedes directamente, tenían un tercero que lo hacía.
450674	455877	La página web no es yo, no lo hice yo, pero es un tercero que tenemos muchísimos problemas con él.
455897	455998	Sí.
456018	462542	Porque estamos en su hosting, no podemos hacer muchos cambios.
463423	465704	Y depende de lo que les diga, lo que todo.
465824	467766	Si está de bueno, si está de bueno, si está de bueno.
467806	473410	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
473858	474738	¿Pero no le ofreces algo?
474758	475419	No, mil gracias.
475499	476039	No, estoy bien.
476079	478740	Pero con la página web tú me dices que estamos bien, ¿no?
480461	483562	No.
483582	487364	Pues a veces se quejan, ¿no?
487384	495107	A lo mejor la información que tiene no es toda la... Lo pregunto es más que todo porque el que tiene la página normalmente tiene el correo.
495688	499589	No, es que, mira... Que fue otro que nos había quedado mal, ¿no?
499629	500950	No, es... sí.
501470	513534	Tengo problema con Godaddy que tiene el dominio, hace cuenta el dominio está con Godaddy, pero cuando se contrató a esa persona, no sé en qué momento se nos ocurrió darle como la, el host a él.
514914	521736	Entonces cada que hablo para Godaddy, tengo un problema con no sé qué, ah, esto, velo con, velo con tu host.
521756	528918	Y no lo quiere soltar, yo le dije, no te decía la cantidad de veces que le he hablado de que, o sea, cuánto me, cuánto, o sea, cóbrame.
529570	530471	Pero regresa uno nuestro... Y no quiere.
530491	531031	No, no, no me contesta.
531051	531751	Dice, sí, claro que sí.
531772	539297	O sea, tuvimos un Zoom y te lo cotizo y ya te pasé a ti el número, no sé qué te dijo.
539317	540437	No es que no le pedí que me lo regresara.
540457	541238	¿Cómo fue la época del hosting?
541898	543259	Pues, no, eso es muy sencillo.
543279	544620	Realmente esos temas de claves.
545441	551405	Pero entonces, si el correo electrónico está dociado al correo electrónico de él, entonces en el momento que tú quieras cambiar la clave, le va a llegar esa a él.
551725	551965	Sí.
552326	556488	Entonces ya es decirle, venga, necesito que me des las claves porque lo quiero cambiar, en el caso que lo quieran cambiar.
556809	557509	No, sí, sí, me gustaría.
557529	558109	Que yo creo que...
559638	571882	Porque eso pues, creo que es una solución, hablando de lo que tenían los correos, no sé si aquí todo el mundo tiene correo corporativo, solamente unos pocos.
572062	580704	Es que tenemos un correo, nadie lo quiere usar, por ejemplo Luis usó el Google de él, Miguel está en el mercado de usar el de él, este, después...
581504	585565	Tú me pediste un correo para ganar, pero yo dije, pues te va a pasar, o sea, no me da ese correo.
585585	586466	Yo sí uso mi correo.
586646	587366	Tú sí usas mucho tu correo.
588866	616714	Bueno, desde que quité... Y no, me pregunto más que todo es para ver si de pronto también ofrecer como entre las primeras ofertas también una posibilidad de solventar ese problema y asociarlo con algo que sea una plataforma más fácil o que sea más accesible de manera, porque si no reciben, o por lo menos si no pueden enviar correos desde el correo empresarial,
617922	619223	Ah, Gmail, ¿no?
619243	624245	Podemos enviar correos a otros correos que tengan el dominio empresarial.
624705	626025	Pero es que está mal eso, ¿no?
626466	628226	Pero eso ya nos explicaron una vez.
629247	629947	Es un rollo.
629967	632968	Tú vas a mandar el informe, bueno, no sé si eso ya después, no sé.
633008	636190	No, es que no, ese es el origen para ese correo positivo.
636230	641592	Pero la persona ya lo puede usar, porque en medio de los choferes y así no tienen correos institucionales.
641612	642552	¿Pero qué le pasó?
642812	645934	Nada más no, pues no sé, no sé si está programado.
645954	646854	¿Pero qué te dijeron?
653281	655342	Es que ya se supone que eso se resolvió.
656203	658144	Carlos.
658224	660426	Pero si no hablas tú con Carlos, con el proveedor que te expide.
660446	665550	O sea, primero hacemos pruebas internas a ver si pueden ir o recibir de los correos que ellos están haciendo.
665570	670033	Claro, sí, yo creo que primero es ver si funcionó o no, porque si no funciona, pues no hay necesidad de cambiarlo.
670213	674637	Ajá, entonces si ya funciona, y si no, quitarle ya a Carlos el hosting.
