start	end	text
914	28682	Notas de la reunión Proponer en un inicio soluciones inmediatas,rápidas sin irnos muy a profundidad porque Héctor prefiere que yo entienda la complejidad del sistema antes de proponer opciones globales y muy grandes sin conocer bien lo que está pasando Proponerle a Maria Helena
29558	56922	una reunión para entender bien cómo le llega ya la información y qué es lo que necesita organizar no querer pretender cambiar el flujo en el que la gente está trabajando que la gente mantenga su sistema de trabajo inicial y donde llega toda la información se organiza y se filtra el mayor riesgo que tiene Trixx en este momento es que con la entrada de los dos camiones y el crecimiento posible que viene
63211	72539	y no puedan tomar decisiones concretas rápidas porque no tienen la información a la mano.
72559	85710	Creo que debemos atacar es hacer las cosas de una manera o implementar soluciones que requieran la menor cantidad de capacitación y que mantengan los procesos actuales sencillos de una manera que
86358	95464	Oportunidades de mejora de la presentación Creo que tenemos que amarrarnos a ciertos tipos de herramientas que sepamos manejar y ver si podemos implementarlas de tal manera que
115642	144962	Se organiza un poco más de información Propone en muchas partes Google Workspace y en otras partes propone Microsoft Office Para decidir una de las dos, no quedarse en ir cambiando dependiendo de la parte del documento Ofrecer una solución integral que les permita a ellos tener el hosting, los correos y la información en una sola plataforma
146514	174930	por un lado o por el otro lado bueno resolver el tema de la persona porque creo que si les están pagando una mensualidad y no los está atendiendo de la manera correcta se puede solucionar eso por otro lado toca tener también no averigüe que sistema de CRM tienen ellos si la idea es crecer y buscar clientes y empezar a abrir puertas es implementar un sistema de CRM
175798	180341	Dentro de la compañía que les ayude a hacer eso.
180361	181721	Hector fue muy claro en un principio.
182602	198170	Él dijo que el equipo no lo quería tocar, que era la gente que él conocía, la gente que él estaba, que él no quería que llegara una persona a implementar cambios, implementar acciones, que despidiera X y que despidiera Y, porque esa persona no conoce el funcionamiento, no conoce la historia.
199531	202833	Uno de los grandes problemas que tiene la compañía es la fricción de la información.
205466	208929	y que la gente no está dispuesta a aprender nuevos procesos.
209529	216134	Les costó en Guadalajara, les costó en diferentes partes del mundo que han tenido.
217315	230986	Entonces yo creo que las soluciones tienen que acomodarse a cómo funciona el equipo y poco a poco ir llevándolos una vez la solución esté implementada a que funcione mejor exigiéndoles que entreguen la información de X o Y manera.
232506	259926	Si me ocurre que se debe mantener el sistema que existe hoy en día de whatsapp de tal manera que la gente sigue trabajando a su misma manera pero se vuelve más eficiente el manejo de la información empezar con soluciones fáciles que se pueden implementar mostrar las soluciones más grandes digamos que para un trabajo un desarrollo futuro y que en el camino vamos a ir mejorando
260754	287970	y encontrando otros puntos donde podemos y oportunidades donde se pueden desarrollar e implementar soluciones para mi los quick wins son un grupo de whatsapp directamente un robot de whatsapp directamente en el celular de Helena o que sea como el partner del celular de Helena por así decirlo donde reciba toda la información que ella recibe y le de
288630	295493	que organice esa información en un documento o de una forma que sea natural para ella y que le sirva.
296874	316122	Otro, implementar un sistema tipo Google Workspace o OneDrive donde haya un archivo general, un Excel, que diferentes personas puedan agregar información y puedan ver, Maria Helena pueda ver el consolidado de los diferentes
317354	318796	De las diferentes cosas que necesita.
320317	327185	Empezar a alimentar esos archivos con la información que le llega de WhatsApp y con otra información que pueda encontrar.
327245	330568	Toca ser muy claro que la información tiene que llegar por solo un punto.
331309	339258	Entonces comenzamos con WhatsApp y lo vamos filtrando a que funcione solamente siendo enviada por el mismo documento.
